age,lowerBoundary
Rancholabrean,0.21
Irvingtonian,1.4
Blancan,4.7
Hemphillian,9.4
Clarendonian,12.5
Barstovian,16.3
Hemingfordian,18.5
Arikareean,29.5
Whitneyan,31.8
Orellan,33.9
Chadronian,37
Duchesnean,39.7
Uintan,46.2
Bridgerian,50.5
Wasatchian,54.9
Clarkforkian,56.2
Tiffanian,60.9
Torrejonian,63.8
Puercan,66.5
