age,lowerBoundary
Calabrian,2.5
Piacenzian,3.6
Zanclean,5.3
Messinian,7.2
Tortonian,11.6
Serravallian,13.6
Langhian,15.9
Burdigalian,20.43
Aquitanian,23
Chattian,28.4
Rupelian,33.9
Priabonian,37.2
Bartonian,40.4
Lutetian,46.6
Ypresian,55.8
Thanetian,58.7
Selandian,61.7
Danian,66.5
