age,lowerBoundary
Tabenbulakian,28.4
Hsandagolian,33.9
Kekeamuan,33.9
Houldjinian,37.2
Ergilian,< 37.2
Ulangochuian,< 37.2
Sharamurunian,48.6
Irdinmanhan,48.6
Arshantan,48.6
Bumbanian,55.8
Gashatan,58.7
