age,lowerBoundary
Lujanian,0.011
Ensenadan,0.8
Uquian,1.2
Chapadmalalan,3
Montehermosan,4
Huayquerian,6.8
Chasicoan,9
Mayoan,10
Laventan,11.8
Colloncuran,13.8
Friasian,15.5
Santacrucian,16.3
Colhuehuapian,17.5
Deseadan,21
Tinguirirican,29
Divisaderan,36
Mustersan,42
Casamayoran,48
Itaboraian,54
Riochican,54
Peligran,59
Tiupampan,62.5
